province,year,carbon_intensity,digital_finance,gdp_per_capita,industrial_structure,urbanization,government_intervention,innovation,energy_structure,gdp,population,urban_population,secondary_industry,fiscal_expenditure,carbon_emissions_mt,raw_coal_emissions_mt
重庆,2021,0.4354607921687283,373.2232936568921,8.746108343711084,0.38015484559935925,0.7033001245330013,0.17211212957194982,9413,0.658595401135507,28092.5,3212.0,2259.0,10679.5,4835.06,122.33182304,80.56717606666666
重庆,2022,0.43449735991491667,382.225786648983,8.954808590102708,0.36415517972459144,0.7096171802054155,0.1700543587818628,12207,0.687616878881113,28771.8,3213.0,2280.0,10477.4,4892.77,125.01271139999999,85.96085043333332
四川,2011,1.315508127395827,40.16,2.6429935515873013,0.4698706429379114,0.4185267857142857,0.21934490993801936,3270,0.7181056100649958,21313.1,8064.0,3375.0,10014.4,4674.92,280.3755627,201.33926449999998
四川,2012,1.1959279082541792,100.13,2.9962770562770564,0.46361801287105414,0.43351886209029067,0.2250159959380637,4460,0.7295657176535872,24224.9,8085.0,3505.0,11231.1,5450.99,289.7123398466667,211.36419113333335
四川,2013,1.0332276174306734,153.04,3.312171661117277,0.4623842075477318,0.44962387470711557,0.23161878592916926,4566,0.7345193553266955,26858.4,8109.0,3646.0,12418.9,6220.91,277.5084064,203.83529576666663
四川,2014,1.0164433544409435,173.82,3.607015603882541,0.4456339947202589,0.46504484580415284,0.23151187941752532,5682,0.6754948422646475,29357.5,8139.0,3785.0,13082.7,6796.61,298.40235778,201.5692536
四川,2015,0.8225477537997109,215.48,3.7614812103465103,0.42792361762101394,0.4826744753538311,0.2431958766230607,9105,0.6048907337204554,30829.1,8196.0,3956.0,13192.5,7497.51,253.58406956666664,153.3906539
四川,2016,0.7383248474777052,225.4146284967609,4.106071991273785,0.39700170015820924,0.5000605987153073,0.2363954874967532,10350,0.5920710973086338,33879.2,8251.0,4126.0,13450.1,8008.89,250.1385517266667,148.0998068
四川,2017,0.596517102274055,267.796800927946,4.646772831463385,0.378252776039733,0.5177946676318012,0.22573765937726362,11367,0.5461914544455565,38517.1,8289.0,4292.0,14569.2,8694.76,229.76108880000004,125.49354326666668
四川,2018,0.586381566901705,294.3042748413172,5.232423987501503,0.3687934954868049,0.535031847133758,0.22296102345024002,11697,0.5828481801465784,43539.0,8321.0,4452.0,16056.9,9707.5,255.30467041333333,148.8038625333333
